,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best.of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
4298,32,Paris,French Open,31/05/2013,Grand Slam,Outdoor,Clay,2nd Round,5,Tipsarevic J.,Verdasco F.,12,53,7,6,6,1,3,6,5,7,8,6,3,2,Completed
4304,32,Paris,French Open,31/05/2013,Grand Slam,Outdoor,Clay,3rd Round,5,Robredo T.,Monfils G.,34,81,2,6,6,7,6,2,7,6,6,2,3,2,Completed
4307,32,Paris,French Open,31/05/2013,Grand Slam,Outdoor,Clay,3rd Round,5,Simon G.,Querrey S.,18,20,2,6,6,3,2,6,7,6,6,2,3,2,Completed
4313,32,Paris,French Open,31/05/2014,Grand Slam,Outdoor,Clay,3rd Round,5,Monfils G.,Fognini F.,28,15,5,7,6,2,6,4,0,6,6,2,3,2,Completed
4315,32,Paris,French Open,31/05/2014,Grand Slam,Outdoor,Clay,3rd Round,5,Garcia-Lopez G.,Young D.,41,79,6,2,6,4,2,6,6,7,6,4,3,2,Completed
4326,51,New York,US Open,4/9/2003,Grand Slam,Outdoor,Hard,4th Round,5,Ferrero J.C.,Martin T.,3,93,6,2,6,4,3,6,5,7,6,3,3,2,Completed
4334,51,New York,US Open,6/9/2003,Grand Slam,Outdoor,Hard,Semifinals,5,Roddick A.,Nalbandian D.,4,13,6,7,3,6,7,6,6,1,6,3,3,2,Completed
4336,50,New York,US Open,1/9/2004,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Heuberger I.,49,139,6,0,6,3,4,6,2,6,6,3,3,2,Completed
4340,50,New York,US Open,1/9/2004,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Philippoussis M.,51,57,1,6,6,3,3,6,7,6,4,1,2,2,Retired
4342,50,New York,US Open,1/9/2004,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Bjorkman J.,68,35,6,3,2,6,6,2,1,6,6,3,3,2,Completed
4350,50,New York,US Open,1/9/2004,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Carlsen K.,41,98,6,4,7,6,6,7,3,6,6,3,3,2,Completed
4353,50,New York,US Open,1/9/2004,Grand Slam,Outdoor,Hard,1st Round,5,Mello R.,Chela J.I.,113,17,6,2,7,6,2,6,2,6,6,2,3,2,Completed
4357,50,New York,US Open,1/9/2004,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Sanguinetti D.,45,102,6,1,5,7,6,2,3,6,6,2,3,2,Completed
4365,50,New York,US Open,2/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Hrbaty D.,Kucera K.,23,118,6,4,6,3,1,6,5,7,6,4,3,2,Completed
4366,50,New York,US Open,2/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Rochus O.,Starace P.,100,93,6,1,4,6,4,6,6,0,6,3,3,2,Completed
4369,50,New York,US Open,2/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Tabara M.,Fish M.,149,28,6,3,3,6,1,6,6,3,6,3,3,2,Completed
4370,50,New York,US Open,2/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Sargsian S.,Massu N.,54,11,6,7,6,4,3,6,7,6,6,4,3,2,Completed
4376,50,New York,US Open,3/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Koubek S.,Ferrero J.C.,97,8,7,6,4,6,6,7,6,2,6,2,3,2,Completed
4381,50,New York,US Open,3/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Kohlschreiber P.,32,99,7,5,7,5,6,7,1,6,6,2,3,2,Completed
4384,50,New York,US Open,3/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Melzer J.,Spadea V.,40,24,6,3,4,6,3,6,6,3,6,4,3,2,Completed
4387,50,New York,US Open,3/9/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Youzhny M.,Nalbandian D.,38,9,6,7,6,4,7,5,2,6,6,4,3,2,Completed
4391,50,New York,US Open,4/9/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Rochus O.,Moya C.,100,4,4,6,6,4,6,3,6,7,7,5,3,2,Completed
4393,50,New York,US Open,4/9/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Pavel A.,Lee H.T.,18,74,6,4,6,2,1,6,1,6,6,4,3,2,Completed
4396,50,New York,US Open,4/9/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Sargsian S.,Mathieu P.H.,54,88,4,6,4,6,6,4,6,2,7,6,3,2,Completed
4397,50,New York,US Open,5/9/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Henman T.,Tabara M.,6,149,4,6,6,3,5,7,6,4,6,3,3,2,Completed
4401,50,New York,US Open,5/9/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Berdych T.,Youzhny M.,68,38,2,6,6,1,6,3,4,6,6,1,3,2,Completed
4404,50,New York,US Open,5/9/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Beck K.,Davydenko N.,72,51,6,3,4,6,3,6,6,1,6,4,3,2,Completed
4406,50,New York,US Open,6/9/2004,Grand Slam,Outdoor,Hard,4th Round,5,Henman T.,Kiefer N.,6,20,6,7,6,3,6,1,6,7,3,0,2,2,Retired
4407,50,New York,US Open,6/9/2004,Grand Slam,Outdoor,Hard,4th Round,5,Hrbaty D.,Rochus O.,23,100,2,6,3,6,6,3,6,4,6,0,3,2,Completed
4414,50,New York,US Open,9/9/2004,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Agassi A.,1,7,6,3,2,6,7,5,3,6,6,3,3,2,Completed
4417,50,New York,US Open,10/9/2004,Grand Slam,Outdoor,Hard,Quarterfinals,5,Johansson J.,Roddick A.,30,2,6,4,6,4,3,6,2,6,6,4,3,2,Completed
4428,51,New York,US Open,1/9/2005,Grand Slam,Outdoor,Hard,2nd Round,5,Wawrinka S.,Puerta M.,62,10,3,6,6,4,6,3,6,7,6,1,3,2,Completed
4448,51,New York,US Open,2/9/2005,Grand Slam,Outdoor,Hard,2nd Round,5,Clement A.,Murray A.,91,122,6,2,7,6,2,6,6,7,6,0,3,2,Completed
4449,51,New York,US Open,2/9/2005,Grand Slam,Outdoor,Hard,2nd Round,5,Kiefer N.,Stepanek R.,38,18,4,6,4,6,6,4,6,3,6,3,3,2,Completed
4453,51,New York,US Open,3/9/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Gasquet R.,Ljubicic I.,13,19,3,6,7,6,6,7,6,3,6,2,3,2,Completed
4458,51,New York,US Open,3/9/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Malisse X.,Youzhny M.,54,26,5,7,1,6,6,1,7,5,7,6,3,2,Completed
4460,51,New York,US Open,4/9/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Ginepri R.,Haas T.,46,31,7,5,6,7,6,4,2,6,6,3,3,2,Completed
4461,51,New York,US Open,4/9/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Hewitt L.,Dent T.,4,27,6,3,3,6,6,7,6,2,7,5,3,2,Completed
4463,51,New York,US Open,4/9/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Verdasco F.,Djokovic N.,48,97,6,1,4,6,6,7,6,4,6,4,3,2,Completed
4466,51,New York,US Open,4/9/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Sanguinetti D.,Srichaphan P.,59,51,6,3,4,6,6,7,7,6,7,6,3,2,Completed
4469,51,New York,US Open,5/9/2005,Grand Slam,Outdoor,Hard,4th Round,5,Coria G.,Massu N.,8,58,6,4,2,6,6,7,6,2,6,2,3,2,Completed
4470,51,New York,US Open,5/9/2005,Grand Slam,Outdoor,Hard,4th Round,5,Agassi A.,Malisse X.,7,54,6,3,6,4,6,7,4,6,6,2,3,2,Completed
4472,51,New York,US Open,6/9/2005,Grand Slam,Outdoor,Hard,4th Round,5,Ginepri R.,Gasquet R.,46,13,6,3,3,6,6,7,6,4,6,0,3,2,Completed
4477,51,New York,US Open,7/9/2005,Grand Slam,Outdoor,Hard,Quarterfinals,5,Ginepri R.,Coria G.,46,8,4,6,6,1,7,5,3,6,7,5,3,2,Completed
4478,51,New York,US Open,8/9/2005,Grand Slam,Outdoor,Hard,Quarterfinals,5,Agassi A.,Blake J.,7,49,3,6,3,6,6,3,6,3,7,6,3,2,Completed
4479,51,New York,US Open,8/9/2005,Grand Slam,Outdoor,Hard,Quarterfinals,5,Hewitt L.,Nieminen J.,4,57,2,6,6,1,3,6,6,3,6,1,3,2,Completed
4481,51,New York,US Open,10/9/2005,Grand Slam,Outdoor,Hard,Semifinals,5,Agassi A.,Ginepri R.,7,46,6,4,5,7,6,3,4,6,6,3,3,2,Completed
4484,51,New York,US Open,1/9/2006,Grand Slam,Outdoor,Hard,2nd Round,5,Agassi A.,Baghdatis M.,39,8,6,4,6,4,3,6,5,7,7,5,3,2,Completed
4490,51,New York,US Open,1/9/2006,Grand Slam,Outdoor,Hard,2nd Round,5,Kubot L.,Okun N.,138,255,7,6,6,4,2,6,2,6,6,4,3,2,Completed
4499,51,New York,US Open,3/9/2006,Grand Slam,Outdoor,Hard,2nd Round,5,Rochus O.,Sweeting R.,30,495,6,2,3,6,4,6,6,4,6,0,3,2,Completed
4500,51,New York,US Open,3/9/2006,Grand Slam,Outdoor,Hard,2nd Round,5,Safin M.,Nalbandian D.,104,4,6,3,7,5,2,6,3,6,7,6,3,2,Completed
4507,51,New York,US Open,3/9/2006,Grand Slam,Outdoor,Hard,3rd Round,5,Roddick A.,Verdasco F.,10,26,6,7,6,3,6,4,6,7,6,2,3,2,Completed
4508,51,New York,US Open,3/9/2006,Grand Slam,Outdoor,Hard,3rd Round,5,Murray A.,Gonzalez F.,19,11,6,3,3,6,2,6,6,3,6,2,3,2,Completed
4509,51,New York,US Open,3/9/2006,Grand Slam,Outdoor,Hard,3rd Round,5,Berdych T.,Tursunov D.,14,25,6,7,6,3,3,6,6,3,6,4,3,2,Completed
4512,51,New York,US Open,4/9/2006,Grand Slam,Outdoor,Hard,3rd Round,5,Gicquel M.,Gaudio G.,79,24,6,0,4,6,4,6,6,1,7,6,3,2,Completed
4515,51,New York,US Open,4/9/2006,Grand Slam,Outdoor,Hard,3rd Round,5,Haas T.,Ginepri R.,16,21,7,6,6,4,3,6,3,6,7,6,3,2,Completed
4520,51,New York,US Open,5/9/2006,Grand Slam,Outdoor,Hard,4th Round,5,Hewitt L.,Gasquet R.,17,29,6,4,6,4,4,6,3,6,6,3,3,2,Completed
4521,51,New York,US Open,6/9/2006,Grand Slam,Outdoor,Hard,4th Round,5,Haas T.,Safin M.,16,104,4,6,6,3,2,6,6,2,7,6,3,2,Completed
4527,51,New York,US Open,7/9/2006,Grand Slam,Outdoor,Hard,Quarterfinals,5,Davydenko N.,Haas T.,6,16,4,6,6,7,6,3,6,4,6,4,3,2,Completed
4533,51,New York,US Open,1/9/2007,Grand Slam,Outdoor,Hard,3rd Round,5,Haas T.,Grosjean S.,10,78,6,2,6,4,3,6,4,6,6,3,3,2,Completed
4540,51,New York,US Open,2/9/2007,Grand Slam,Outdoor,Hard,3rd Round,5,Chela J.I.,Ljubicic I.,22,12,6,4,6,7,2,6,6,3,6,3,3,2,Completed
4541,51,New York,US Open,2/9/2007,Grand Slam,Outdoor,Hard,3rd Round,5,Ferrer D.,Nalbandian D.,15,24,6,3,3,6,4,6,7,6,7,5,3,2,Completed
4544,51,New York,US Open,2/9/2007,Grand Slam,Outdoor,Hard,3rd Round,5,Wawrinka S.,Ginepri R.,49,64,5,7,6,4,4,6,6,4,6,3,3,2,Completed
4545,51,New York,US Open,2/9/2007,Grand Slam,Outdoor,Hard,3rd Round,5,Moya C.,Kohlschreiber P.,17,38,4,6,7,5,7,6,4,6,6,4,3,2,Completed
4549,51,New York,US Open,3/9/2007,Grand Slam,Outdoor,Hard,4th Round,5,Haas T.,Blake J.,10,6,4,6,6,4,3,6,6,0,7,6,3,2,Completed
4552,51,New York,US Open,3/9/2007,Grand Slam,Outdoor,Hard,4th Round,5,Chela J.I.,Wawrinka S.,22,49,4,6,6,2,7,6,1,6,6,4,3,2,Completed
4569,51,New York,US Open,2/9/2008,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Robredo T.,3,15,4,6,6,2,6,3,5,7,6,3,3,2,Completed
4571,51,New York,US Open,2/9/2008,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Andreev I.,2,23,6,7,7,6,6,3,3,6,6,3,3,2,Completed
4583,49,New York,US Open,1/9/2009,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez M.,Beck K.,79,94,2,6,1,6,6,1,6,4,6,3,3,2,Completed
4588,49,New York,US Open,1/9/2009,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Luczak P.,31,78,6,3,6,3,1,6,2,6,6,1,3,2,Completed
4598,49,New York,US Open,1/9/2009,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Wawrinka S.,163,20,4,6,3,6,7,6,7,6,6,3,3,2,Completed
4606,49,New York,US Open,2/9/2009,Grand Slam,Outdoor,Hard,1st Round,5,Beck A.,Korolev E.,40,80,6,3,6,4,2,6,2,6,6,4,3,2,Completed
4617,49,New York,US Open,2/9/2009,Grand Slam,Outdoor,Hard,1st Round,5,Petzschner P.,Stakhovsky S.,39,132,7,6,6,7,6,4,4,6,6,3,3,2,Completed
4638,49,New York,US Open,4/9/2009,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrero J.C.,Petzschner P.,25,39,1,6,3,6,6,4,6,2,6,4,3,2,Completed
4639,49,New York,US Open,4/9/2009,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Levine J.,17,135,4,6,2,6,6,0,6,3,6,0,3,2,Completed
4642,49,New York,US Open,4/9/2009,Grand Slam,Outdoor,Hard,2nd Round,5,Istomin D.,Lapentti N.,108,163,2,6,6,4,4,6,7,5,7,6,3,2,Completed
4647,49,New York,US Open,4/9/2009,Grand Slam,Outdoor,Hard,2nd Round,5,Almagro N.,Ginepri R.,33,75,6,7,6,2,6,3,4,6,6,4,3,2,Completed
4650,49,New York,US Open,4/9/2009,Grand Slam,Outdoor,Hard,2nd Round,5,Dent T.,Navarro-Pastor I.,196,119,6,4,5,7,6,7,7,5,7,6,3,2,Completed
4651,49,New York,US Open,4/9/2009,Grand Slam,Outdoor,Hard,2nd Round,5,Acasuso J.,Ferrer D.,47,19,6,3,3,6,1,6,6,3,6,2,3,2,Completed
4657,49,New York,US Open,5/9/2009,Grand Slam,Outdoor,Hard,3rd Round,5,Verdasco F.,Haas T.,10,21,3,6,7,5,7,6,1,6,6,4,3,2,Completed
4659,49,New York,US Open,5/9/2009,Grand Slam,Outdoor,Hard,3rd Round,5,Isner J.,Roddick A.,55,5,7,6,6,3,3,6,5,7,7,6,3,2,Completed
4683,49,New York,US Open,1/9/2010,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,Seppi A.,94,56,2,6,5,7,6,3,6,2,6,3,3,2,Completed
4704,49,New York,US Open,2/9/2010,Grand Slam,Outdoor,Hard,2nd Round,5,Nishikori K.,Cilic M.,147,13,5,7,7,6,3,6,7,6,6,1,3,2,Completed
4710,49,New York,US Open,2/9/2010,Grand Slam,Outdoor,Hard,2nd Round,5,Melzer J.,Berankis R.,15,124,6,4,6,7,6,3,1,6,7,5,3,2,Completed
4714,49,New York,US Open,2/9/2010,Grand Slam,Outdoor,Hard,2nd Round,5,Anderson K.,Bellucci T.,77,28,6,7,6,4,5,7,6,4,7,6,3,2,Completed
4718,49,New York,US Open,3/9/2010,Grand Slam,Outdoor,Hard,2nd Round,5,Stakhovsky S.,Harrison R.,36,220,6,3,5,7,3,6,6,3,7,6,3,2,Completed
4719,49,New York,US Open,3/9/2010,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Paire B.,25,163,6,4,6,7,5,7,7,6,6,2,3,2,Completed
4729,49,New York,US Open,3/9/2010,Grand Slam,Outdoor,Hard,2nd Round,5,Simon G.,Kohlschreiber P.,42,31,4,6,6,3,1,6,6,1,6,3,3,2,Completed
4736,49,New York,US Open,4/9/2010,Grand Slam,Outdoor,Hard,3rd Round,5,Fish M.,Clement A.,21,68,4,6,6,3,6,4,1,6,6,3,3,2,Completed
4753,49,New York,US Open,7/9/2010,Grand Slam,Outdoor,Hard,4th Round,5,Wawrinka S.,Querrey S.,27,22,7,6,6,7,7,5,4,6,6,4,3,2,Completed
4754,49,New York,US Open,7/9/2010,Grand Slam,Outdoor,Hard,4th Round,5,Verdasco F.,Ferrer D.,8,12,5,7,6,7,6,3,6,3,7,6,3,2,Completed
4758,49,New York,US Open,9/9/2010,Grand Slam,Outdoor,Hard,Quarterfinals,5,Youzhny M.,Wawrinka S.,14,27,3,6,7,6,3,6,6,3,6,3,3,2,Completed
4761,49,New York,US Open,11/9/2010,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Federer R.,3,2,5,7,6,1,5,7,6,2,7,5,3,2,Completed
4769,50,New York,US Open,1/9/2011,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrero J.C.,Monfils G.,105,7,7,6,5,7,6,7,6,4,6,4,3,2,Completed
4775,50,New York,US Open,1/9/2011,Grand Slam,Outdoor,Hard,2nd Round,5,Dolgopolov O.,Cipolla F.,23,108,6,0,7,5,2,6,5,7,6,4,3,2,Completed
4783,50,New York,US Open,2/9/2011,Grand Slam,Outdoor,Hard,2nd Round,5,Young D.,Wawrinka S.,84,14,7,6,3,6,2,6,6,3,7,6,3,2,Completed
4787,50,New York,US Open,2/9/2011,Grand Slam,Outdoor,Hard,2nd Round,5,Kunitsyn I.,Melzer J.,62,17,3,6,6,3,1,6,6,2,7,6,3,2,Completed
4789,50,New York,US Open,2/9/2011,Grand Slam,Outdoor,Hard,2nd Round,5,Murray A.,Haase R.,4,41,6,7,2,6,6,2,6,0,6,4,3,2,Completed
4814,50,New York,US Open,5/9/2011,Grand Slam,Outdoor,Hard,4th Round,5,Tsonga J.W.,Fish M.,11,8,6,4,6,7,3,6,6,4,6,2,3,2,Completed
4824,50,New York,US Open,10/9/2011,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Federer R.,1,3,6,7,4,6,6,3,6,2,7,5,3,2,Completed
4843,51,New York,US Open,3/9/2012,Grand Slam,Outdoor,Hard,3rd Round,5,Kohlschreiber P.,Isner J.,20,10,6,4,3,6,4,6,6,3,6,4,3,2,Completed
4854,51,New York,US Open,6/9/2012,Grand Slam,Outdoor,Hard,Quarterfinals,5,Ferrer D.,Tipsarevic J.,5,9,6,3,6,7,2,6,6,3,7,6,3,2,Completed
4858,51,New York,US Open,10/9/2012,Grand Slam,Outdoor,Hard,The Final,5,Murray A.,Djokovic N.,4,2,7,6,7,5,2,6,3,6,6,2,3,2,Completed
4863,51,New York,US Open,1/9/2013,Grand Slam,Outdoor,Hard,3rd Round,5,Istomin D.,Seppi A.,65,23,6,3,6,4,2,6,3,6,6,1,3,2,Completed
4866,51,New York,US Open,1/9/2013,Grand Slam,Outdoor,Hard,3rd Round,5,Granollers M.,Smyczek T.,43,109,6,4,4,6,0,6,6,3,7,5,3,2,Completed
4870,51,New York,US Open,2/9/2013,Grand Slam,Outdoor,Hard,4th Round,5,Gasquet R.,Raonic M.,9,11,6,7,7,6,2,6,7,6,7,5,3,2,Completed
4872,51,New York,US Open,3/9/2013,Grand Slam,Outdoor,Hard,4th Round,5,Youzhny M.,Hewitt L.,24,66,6,3,3,6,6,7,6,4,7,5,3,2,Completed
4876,51,New York,US Open,4/9/2013,Grand Slam,Outdoor,Hard,Quarterfinals,5,Gasquet R.,Ferrer D.,9,4,6,3,6,1,4,6,2,6,6,3,3,2,Completed
4880,51,New York,US Open,7/9/2013,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Wawrinka S.,1,10,2,6,7,6,3,6,6,3,6,4,3,2,Completed
4888,51,New York,US Open,2/9/2014,Grand Slam,Outdoor,Hard,4th Round,5,Nishikori K.,Raonic M.,11,6,4,6,7,6,6,7,7,5,6,4,3,2,Completed
4890,51,New York,US Open,2/9/2014,Grand Slam,Outdoor,Hard,4th Round,5,Cilic M.,Simon G.,16,31,5,7,7,6,6,4,3,6,6,3,3,2,Completed
4893,51,New York,US Open,3/9/2014,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nishikori K.,Wawrinka S.,11,4,3,6,7,5,7,6,6,7,6,4,3,2,Completed
4896,51,New York,US Open,5/9/2014,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Monfils G.,3,24,4,6,3,6,6,4,7,5,6,2,3,2,Completed
4902,52,New York,US Open,1/9/2015,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Brown D.,79,85,4,6,4,6,6,3,7,5,6,4,3,2,Completed
4905,52,New York,US Open,1/9/2015,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Simon G.,68,11,2,6,4,6,6,4,6,4,6,4,3,2,Completed
4907,52,New York,US Open,1/9/2015,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Mathieu P.H.,128,80,6,4,2,6,6,7,6,1,6,2,3,2,Completed
4912,52,New York,US Open,1/9/2015,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Kokkinakis T.,12,71,4,6,6,1,4,6,6,3,2,0,2,2,Retired
4913,52,New York,US Open,1/9/2015,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Zverev A.,29,82,6,7,6,2,6,0,2,6,6,4,3,2,Completed
4923,52,New York,US Open,1/9/2015,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Tipsarevic J.,31,429,7,6,4,6,4,6,6,3,6,1,3,2,Completed
4934,52,New York,US Open,2/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista R.,Carreno-Busta P.,23,54,4,6,6,4,6,0,2,6,6,4,3,2,Completed
4935,52,New York,US Open,2/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Goffin D.,Berankis R.,15,78,5,7,6,4,3,6,6,2,6,1,3,2,Completed
4937,52,New York,US Open,2/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Fish M.,19,581,2,6,6,3,1,6,7,5,6,3,3,2,Completed
4943,52,New York,US Open,2/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Kukushkin M.,Dimitrov G.,56,17,6,3,7,6,2,6,4,6,6,4,3,2,Completed
4954,52,New York,US Open,3/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Vesely J.,Karlovic I.,48,21,7,6,3,6,3,6,6,2,7,6,3,2,Completed
4957,52,New York,US Open,3/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Murray A.,Mannarino A.,3,35,5,7,4,6,6,1,6,3,6,1,3,2,Completed
4962,52,New York,US Open,3/9/2015,Grand Slam,Outdoor,Hard,2nd Round,5,Tomic B.,Hewitt L.,24,355,6,3,6,2,3,6,5,7,7,5,3,2,Completed
4966,52,New York,US Open,4/9/2015,Grand Slam,Outdoor,Hard,3rd Round,5,Cilic M.,Kukushkin M.,9,56,6,7,7,6,6,3,6,7,6,1,3,2,Completed
4973,52,New York,US Open,5/9/2015,Grand Slam,Outdoor,Hard,3rd Round,5,Fognini F.,Nadal R.,32,8,3,6,4,6,6,4,6,3,6,4,3,2,Completed
4978,52,New York,US Open,5/9/2015,Grand Slam,Outdoor,Hard,3rd Round,5,Young D.,Troicki V.,68,22,4,6,0,6,7,6,6,2,6,4,3,2,Completed
4990,52,New York,US Open,8/9/2015,Grand Slam,Outdoor,Hard,Quarterfinals,5,Cilic M.,Tsonga J.W.,9,18,6,4,6,4,3,6,6,7,6,4,3,2,Completed
4999,52,New York,US Open,1/9/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Carreno Busta P.,Tipsarevic J.,39,250,3,6,4,6,6,1,6,4,6,4,3,2,Completed
5003,52,New York,US Open,1/9/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Lorenzi P.,Simon G.,40,31,3,6,6,2,6,2,6,7,7,6,3,2,Completed
5005,52,New York,US Open,2/9/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Dimitrov G.,Chardy J.,24,55,4,6,6,4,3,6,6,4,6,2,3,2,Completed
5011,52,New York,US Open,2/9/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrer D.,Fognini F.,13,38,6,0,4,6,5,7,6,1,6,4,3,2,Completed
5018,52,New York,US Open,2/9/2016,Grand Slam,Outdoor,Hard,3rd Round,5,Pouille L.,Bautista Agut R.,25,17,3,6,7,5,2,6,7,5,6,1,3,2,Completed
5025,52,New York,US Open,3/9/2016,Grand Slam,Outdoor,Hard,3rd Round,5,Wawrinka S.,Evans D.,3,64,4,6,6,3,6,7,7,6,6,2,3,2,Completed
5031,52,New York,US Open,4/9/2016,Grand Slam,Outdoor,Hard,4th Round,5,Pouille L.,Nadal R.,25,5,6,1,2,6,6,4,3,6,7,6,3,2,Completed
5039,52,New York,US Open,7/9/2016,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nishikori K.,Murray A.,7,2,1,6,6,4,4,6,6,1,7,5,3,2,Completed
5047,49,New York,US Open,14/09/2009,Grand Slam,Outdoor,Hard,The Final,5,Del Potro J.M.,Federer R.,6,1,3,6,7,6,4,6,7,6,6,2,3,2,Completed
5050,51,New York,US Open August,25/08/2003,Grand Slam,Outdoor,Hard,1st Round,5,Delgado R.,Grosjean S.,158,9,6,4,6,7,4,6,7,6,6,4,3,2,Completed
5054,51,New York,US Open August,25/08/2003,Grand Slam,Outdoor,Hard,1st Round,5,Sanguinetti D.,Ramirez-Hidalgo R.,86,70,4,6,6,0,3,6,6,1,6,1,3,2,Completed
5057,51,New York,US Open August,25/08/2003,Grand Slam,Outdoor,Hard,1st Round,5,Carraz G.,Rusedski G.,100,90,6,4,4,6,6,2,5,7,6,4,3,2,Completed
5065,51,New York,US Open August,25/08/2003,Grand Slam,Outdoor,Hard,1st Round,5,Vinciguerra A.,Kendrick R.,92,120,7,6,6,7,7,5,1,6,6,1,3,2,Completed
5068,51,New York,US Open August,25/08/2003,Grand Slam,Outdoor,Hard,1st Round,5,Verkerk M.,Bogomolov Jr. A.,16,117,7,6,4,6,3,6,7,6,1,0,2,2,Retired
5076,51,New York,US Open August,25/08/2008,Grand Slam,Outdoor,Hard,1st Round,5,Odesnik W.,Fognini F.,114,83,2,6,6,0,4,6,6,3,6,4,3,2,Completed
5085,51,New York,US Open August,25/08/2008,Grand Slam,Outdoor,Hard,1st Round,5,De Heart R.,Rochus O.,261,68,7,6,5,7,6,4,3,6,6,4,3,2,Completed
5088,51,New York,US Open August,25/08/2008,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Lopez F.,48,29,4,6,7,6,6,2,2,6,6,4,3,2,Completed
5094,51,New York,US Open August,25/08/2014,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Benneteau J.,98,28,7,6,5,7,6,4,4,6,6,4,3,2,Completed
5099,51,New York,US Open August,25/08/2014,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Rola B.,37,87,6,3,3,6,7,5,1,6,6,4,3,2,Completed
5100,51,New York,US Open August,25/08/2014,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Pospisil V.,85,46,2,6,6,4,6,2,3,6,6,3,3,2,Completed
5113,51,New York,US Open August,25/08/2014,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Muller G.,81,68,6,7,7,5,7,6,6,7,6,1,3,2,Completed
5118,51,New York,US Open August,26/08/2002,Grand Slam,Outdoor,Hard,1st Round,5,Carlsen K.,Saretta F.,106,71,7,6,4,6,6,4,5,7,7,6,3,2,Completed
